id;title;lat;lon;street_1;street_2;address;postal_code;party_id
1;ذهنیت انفعالات کاره;76591;11851;hacking جنوبی index;ها مرغ;گیلان جهانی;مستقیم اساسی;1
2;سلامتی جهته;17366;97887;زرد وام نگهبان;کره;صورتحساب;Berkshire مت;2
3;شبیه اطلاعاتی سباری;83656;17379;محور;کردن خرمایی پزو;خانه افغانی;رئیس ملی صاب;3
4;calculating کفش;86451;88266;پیراهن;USB;اردن;quantifying;4
5;bus;21775;91604;optical;مازندران;state سرمایه;صورتحساب;5
6;مربی Borders یونان;97631;93874;input Account;پنیر Account خوش;شناسایی;مدرس;6
7;اتحاد;13290;60995;نصاب آینده کرون;firewall;پیتزا;چسبنده;7
8;generating کامپیوتر;66550;78723;COM;ارگونومیک;compressing بدون;برداشت پژوهش;8
9;back رایانه CSS;77706;25910;لطیف;ادغام زده خوش;calculate;سوم خواربار;9
10;application;60094;2921;sensor عمان;کفش;digital;جهانی طلایی;10
